"","long","lat","group","order","State_name","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14"
"7099",-86.3103637695312,34.9905319213867,36,1640,"Alabama","Jackson",1071,"AL",0.550650337,-1.872274439,0.474698566,-12.49013773
"8395",-86.5681915283203,33.7758636474609,37,1695,"Alabama","Jefferson",1073,"AL",0.971559929,10.67731679,0.569013292,1.810239331
"11307",-88.2526931762695,33.7357559204102,38,1808,"Alabama","Lamar",1075,"AL",0.425954849,-10.61641752,0.709924748,4.28084623
"11343",-88.1094436645508,34.8988571166992,39,1818,"Alabama","Lauderdale",1077,"AL",0.773395205,17.31010612,0.751912005,14.05149206
"11475",-87.525032043457,34.3029823303223,40,1863,"Alabama","Lawrence",1079,"AL",0.477940078,-34.39794486,0.507811333,16.17030598
"11816",-84.9868316650391,32.4981651306152,41,1895,"Alabama","Lee",1081,"AL",0.82979482,6.464212097,0.706622152,4.163622407
"12332",-87.2041702270508,35.0019912719727,42,1939,"Alabama","Limestone",1083,"AL",0.561754436,1.522758398,0.429576922,-0.183506449
"12370",-86.8604049682617,31.9595851898193,43,1959,"Alabama","Lowndes",1085,"AL",0,-100,0.189035917,NA
"12538",-85.445198059082,32.4236831665039,44,2016,"Alabama","Macon",1087,"AL",0.463320463,-1.822393822,0.102960103,-56.36550837
"12748",-86.7801895141602,34.5493545532227,45,2052,"Alabama","Madison",1089,"AL",0.942052361,3.894558648,0.645163132,-3.848606656
"13788",-87.4620056152344,32.2747116088867,46,2105,"Alabama","Marengo",1091,"AL",0.94480358,25.00932372,0.447538538,-21.04674291
"13850",-87.9490203857422,33.9191017150879,47,2168,"Alabama","Marion",1093,"AL",0.561593604,-33.80539384,0.660698358,1.238809422
"14037",-86.0697174072266,34.4634094238281,48,2180,"Alabama","Marshall",1095,"AL",0.750243036,-1.168341253,0.6340082,-16.48028838
"14577",-87.9719390869141,31.1689052581787,49,2226,"Alabama","Mobile",1097,"AL",0.60945792,-0.753752502,0.522736635,1.586960882
"14638",-87.4906539916992,31.8335342407227,50,2288,"Alabama","Monroe",1099,"AL",0.410078826,-4.787898118,0.45564314,32.23903039
"15641",-86.4077682495117,32.0569877624512,51,2348,"Alabama","Montgomery",1101,"AL",0.928427112,25.03935482,0.623372489,2.074778554
"16559",-86.5796585083008,34.3087120056152,52,2400,"Alabama","Morgan",1103,"AL",0.827710753,-1.540495122,0.560167883,16.90212346
"16812",-87.0208282470703,32.8362083435059,53,2424,"Alabama","Perry",1105,"AL",0.101770812,-45.60350092,0.610624873,30.5515978
"17052",-87.8344268798828,33.5180282592773,54,2449,"Alabama","Pickens",1107,"AL",0.392830837,29.72583681,0.294623128,-2.705622391
"17124",-85.9952392578125,32.0569877624512,55,2474,"Alabama","Pike",1109,"AL",0.988349456,7.268861002,0.658899638,7.268861002
"17564",-85.5941619873047,33.1054992675781,56,2519,"Alabama","Randolph",1111,"AL",0.399307866,-17.00204494,0.310572785,-58.22978732
"17692",-85.4394683837891,32.2403335571289,57,2536,"Alabama","Russell",1113,"AL",0.738155952,-12.49161186,0.352301704,-26.49295397
"17844",-86.4822463989258,33.1112289428711,59,2670,"Alabama","Shelby",1117,"AL",0.682296581,2.721882485,0.638745736,-7.450065244
"18573",-87.8401565551758,32.538272857666,60,2752,"Alabama","Sumter",1119,"AL",0.53167249,4.405286344,0.455719277,25.28634361
"18865",-86.3733901977539,33.3977088928223,61,2826,"Alabama","Talladega",1121,"AL",0.602542977,1.662526746,0.454981432,-16.41081134
"18942",-85.6457290649414,33.1112289428711,62,2904,"Alabama","Tallapoosa",1123,"AL",0.48584963,-15.31843395,0.412972185,-21.47709329
"18969",-87.0609359741211,33.2487411499023,63,2932,"Alabama","Tuscaloosa",1125,"AL",0.796194093,-2.848195164,0.543983542,0.841995225
"19042",-87.1125030517578,33.9993171691895,64,3006,"Alabama","Walker",1127,"AL",0.626231461,-6.278199508,0.519313895,-10.32247983
"19201",-88.4532241821289,31.432466506958,65,3060,"Alabama","Washington",1129,"AL",0.178210764,-22.06397766,0.356421528,3.914696448
"20813",-86.9062423706055,32.0569877624512,66,3113,"Alabama","Wilcox",1131,"AL",0.450531627,-10.8698264,0.450531627,-10.8698264
"20891",-87.6281661987305,34.3087120056152,67,3153,"Alabama","Winston",1133,"AL",0.414078675,-14.79986197,0.621118012,-19.28407977
"20903",-109.04532623291,35.9989395141602,68,3160,"Arizona","Apache",4001,"AZ",0.222754358,5.448942845,0.250598652,-6.344688921
"20951",-110.466262817383,31.7418632507324,69,3209,"Arizona","Cochise",4003,"AZ",0.478626577,19.73119957,0.753248384,-2.016697006
"20965",-111.319969177246,37.0016136169434,70,3224,"Arizona","Coconino",4005,"AZ",0.871573626,3.870565091,1.176624395,-1.842315989
"21114",-110.752738952637,34.2628746032715,71,3374,"Arizona","Gila",4007,"AZ",0.640072291,3.887611977,1.035411058,13.178881
"21264",-110.013626098633,33.586784362793,72,3525,"Arizona","Graham",4009,"AZ",0.421529626,-1.138129989,0.316147219,-30.21515058
"21417",-109.056785583496,32.7789154052734,73,3577,"Arizona","Greenlee",4011,"AZ",0.213995292,-38.40502176,0.748983522,7.791211927
"21447",-112.208053588867,32.5096244812012,74,3608,"Arizona","Maricopa",4013,"AZ",0.68041841,-3.210124993,0.583285684,1.263799069
"21502",-114.637390136719,35.0191802978516,75,3664,"Arizona","Mohave",4015,"AZ",0.560579462,2.702271808,0.634339918,2.987922115
"21613",-110.013626098633,33.586784362793,76,3776,"Arizona","Navajo",4017,"AZ",0.499532844,-2.299549832,0.721547442,0.802051761
"21647",-113.336776733398,32.5153541564941,77,3811,"Arizona","Pima",4019,"AZ",0.608253129,0.576201265,0.648073301,4.159365892
"21673",-110.46053314209,33.2029037475586,78,3838,"Arizona","Pinal",4021,"AZ",0.286128016,-17.95396402,0.271199598,-3.190045568
"21712",-111.560615539551,34.4404945373535,80,3895,"Arizona","Yavapai",4025,"AZ",0.584891521,-12.40233174,0.936740326,-3.032682247
"21770",-113.3310546875,33.3747901916504,81,3954,"Arizona","Yuma",4027,"AZ",0.575654253,8.264357286,0.37884938,-11.5802062
"21828",-91.3695755004883,34.5722732543945,82,3984,"Arkansas","Arkansas",5001,"AR",0.591588685,-37.11412284,0.645369474,2.904162633
"21922",-92.062858581543,33.002368927002,83,4079,"Arkansas","Ashley",5003,"AR",0.716058812,20.73853204,0.286423525,-30.23995926
"21951",-92.1602630615234,36.2567672729492,84,4109,"Arkansas","Baxter",5005,"AR",0.783219522,5.00447272,0.758743912,-28.33146429
"21991",-93.8791351318359,36.2911491394043,85,4150,"Arkansas","Benton",5007,"AR",0.660281197,4.401542299,0.631393895,3.615564779
"22144",-93.3004455566406,36.4974136352539,86,4168,"Arkansas","Boone",5009,"AR",0.618346059,-8.870631251,0.672115281,7.66702357
"22232",-91.97119140625,33.3862533569336,87,4180,"Arkansas","Bradley",5011,"AR",0.538213132,55.24757804,0.538213132,24.19806243
"22346",-92.595703125,33.7987823486328,88,4238,"Arkansas","Calhoun",1015,"AL",0.888574485,10.70983344,0.66427413,17.35146089
"23006",-93.873405456543,36.4974136352539,89,4299,"Arkansas","Carroll",5015,"AR",0.540657439,-22.72013295,1.838235294,-0.154411765
"23305",-91.4669799804688,33.002368927002,90,4323,"Arkansas","Chicot",5017,"AR",0.447227191,-11.66517591,0.178890877,-73.49955277
"23367",-92.87646484375,34.1654739379883,91,4386,"Arkansas","Clark",5019,"AR",0.841601701,-2.795003544,0.48724309,2.321048901
"24111",-90.5731735229492,36.5088691711426,92,4449,"Arkansas","Clay",1027,"AL",0.295159386,3.350059032,0.442739079,-11.41423512
"24669",-92.2748489379883,35.3572273254395,93,4481,"Arkansas","Cleburne",1029,"AL",0.530503979,13.05797651,0.132625995,-50.53713528
"24697",-92.3321533203125,33.6956481933594,94,4496,"Arkansas","Cleveland",5025,"AR",0.118357202,-48.81642798,0.118357202,NA
"24757",-92.9910507202148,33.0195579528809,95,4517,"Arkansas","Columbia",5027,"AR",0.919232858,50.8890096,0.334266494,-8.552115396
"24877",-92.9337539672852,35.1624183654785,96,4533,"Arkansas","Conway",5029,"AR",0.33202106,-21.58031484,0.569178959,-6.930483547
"24917",-90.2981491088867,35.9989395141602,97,4574,"Arkansas","Craighead",5031,"AR",0.741333229,-10.40002608,0.682806922,0.301185383
"24931",-94.4807434082031,35.6551666259766,98,4589,"Arkansas","Crawford",5033,"AR",0.453830818,-0.165324084,0.486247305,-16.80443674
"25371",-90.2924194335938,35.4374389648438,99,4630,"Arkansas","Crittenden",5035,"AR",0.686203278,-0.149580782,0.403648987,8.197048689
"25461",-91.0487213134766,35.3457679748535,100,4676,"Arkansas","Cross",5037,"AR",0.696580949,39.09173584,0.406338887,-39.14736557
"25471",-92.3436126708984,33.7930526733398,101,4687,"Arkansas","Dallas",1047,"AL",0.455515332,-0.335523004,0.359617367,-1.646897701
"25646",-90.9455871582031,34.1253662109375,102,4723,"Arkansas","Desha",5041,"AR",0.733855186,-3.806262231,0.896934116,-26.51867254
"25736",-91.4555206298828,33.5524101257324,103,4814,"Arkansas","Drew",5043,"AR",0.805498872,-0.681989045,0.698099023,17.37583113
"25753",-92.1144256591797,35.0650177001953,104,4832,"Arkansas","Faulkner",5045,"AR",0.654146794,16.9160785,0.579623741,-9.535428656
"25792",-93.7129745483398,35.3801460266113,105,4872,"Arkansas","Franklin",1059,"AL",0.569602228,-18.21288739,0.506313091,-5.918092689
"26728",-91.7076263427734,36.2453117370605,106,4909,"Arkansas","Fulton",5049,"AR",0.329896907,-42.35758468,0.329896907,-32.75051546
"26816",-93.3004455566406,34.7728080749512,107,4921,"Arkansas","Garland",5051,"AR",0.873389367,11.60751594,1.027516903,0.486959133
"26840",-92.6701965332031,34.1540107727051,108,4946,"Arkansas","Grant",5053,"AR",0.330687831,-34.77733686,0.496031746,10.06324405
"27200",-90.8138122558594,36.153636932373,109,4971,"Arkansas","Greene",1063,"AL",0.11691804,7.354144745,0.233836081,-28.43057017
"27522",-93.4837951660156,33.4779243469238,110,4995,"Arkansas","Hempstead",5057,"AR",0.492677028,-7.150908467,0.582254669,19.70626677
"27578",-94.2572860717773,34.1998481750488,112,5083,"Arkansas","Howard",5061,"AR",0.666666667,14.50833333,0.592592593,62.8562963
"27781",-91.3695755004883,35.8786201477051,113,5113,"Arkansas","Independence",5063,"AR",0.568197191,-6.3533547,0.730539246,20.40282967
"27825",-92.2118301391602,36.1192588806152,114,5158,"Arkansas","Izard",5065,"AR",0.222452914,1.431113748,0.5190568,18.33629937
"27872",-91.0429916381836,35.701000213623,115,5206,"Arkansas","Jackson",1071,"AL",0.550650337,-1.872274439,0.474698566,-12.49013773
"28712",-91.9539947509766,34.0795288085938,116,5242,"Arkansas","Jefferson",1073,"AL",0.971559929,10.67731679,0.569013292,1.810239331
"29908",-93.1801223754883,35.712459564209,117,5289,"Arkansas","Johnson",5071,"AR",0.422995578,-36.8641777,0.422995578,7.330897904
"30256",-93.4895248413086,33.0195579528809,118,5319,"Arkansas","Lafayette",5073,"AR",0.421881592,61.45408522,0.140627197,-64.1213144
"30550",-91.3695755004883,35.8786201477051,119,5369,"Arkansas","Lawrence",1079,"AL",0.477940078,-34.39794486,0.507811333,16.17030598
"30913",-90.4127349853516,34.8415641784668,120,5403,"Arkansas","Lee",1081,"AL",0.82979482,6.464212097,0.706622152,4.163622407
"31237",-91.97119140625,33.7987823486328,121,5431,"Arkansas","Lincoln",5079,"AR",0.357909807,153.8475304,0.429491768,-39.0765927
"32029",-94.0395584106445,35.1967964172363,123,5552,"Arkansas","Logan",5083,"AR",0.592039348,10.65708777,0.409873395,-29.28422793
"32579",-92.1144256591797,35.0077209472656,124,5608,"Arkansas","Lonoke",5085,"AR",0.531045181,-5.696158307,0.433221069,-20.98867318
"32617",-93.7072448730469,35.7640266418457,125,5647,"Arkansas","Madison",1089,"AL",0.942052361,3.894558648,0.645163132,-3.848606656
"33357",-92.8420791625977,36.5031394958496,126,5685,"Arkansas","Marion",1093,"AL",0.561593604,-33.80539384,0.660698358,1.238809422
"34037",-94.051025390625,33.0367469787598,127,5726,"Arkansas","Miller",5091,"AR",0.552638851,-0.33158331,0.506585613,4.41453177
"34250",-89.7194595336914,36.0046691894531,128,5798,"Arkansas","Mississippi",5093,"AR",0.723409065,5.927433028,0.542556799,1.690335707
"34352",-91.0544509887695,34.6524848937988,129,5850,"Arkansas","Monroe",1099,"AL",0.410078826,-4.787898118,0.45564314,32.23903039
"35219",-93.9307022094727,34.6696739196777,130,5902,"Arkansas","Montgomery",1101,"AL",0.928427112,25.03935482,0.623372489,2.074778554
"35615",-93.3634719848633,33.443546295166,131,5925,"Arkansas","Nevada",5099,"AR",0.343918377,3.840421873,0.229278918,3.840421873
"35659",-92.9509429931641,35.712459564209,132,5948,"Arkansas","Newton",5101,"AR",0.126518219,5.149291498,0.632591093,-24.89336322
"35791",-92.9853210449219,33.3805198669434,133,5971,"Arkansas","Ouachita",5103,"AR",0.644433704,19.79101936,0.362493958,-27.43428635
"35883",-93.0712661743164,34.7728080749512,134,6018,"Arkansas","Perry",1105,"AL",0.101770812,-45.60350092,0.610624873,30.5515978
"36503",-91.0601806640625,34.343090057373,135,6081,"Arkansas","Phillips",5107,"AR",0.351229303,-35.67820706,0.451580532,24.0491721
"36723",-93.9364318847656,34.360279083252,136,6137,"Arkansas","Pike",1109,"AL",0.988349456,7.268861002,0.658899638,7.268861002
"37133",-91.0429916381836,35.4374389648438,137,6179,"Arkansas","Poinsett",5111,"AR",0.701146581,7.941516126,0.536170915,10.05801644
"37146",-93.9307022094727,34.6696739196777,138,6193,"Arkansas","Polk",5113,"AR",0.395550062,-32.15327565,0.939431397,7.423980222
"37326",-92.8420791625977,35.4546279907227,139,6209,"Arkansas","Pope",5115,"AR",0.822771792,-8.295352059,0.537966171,-8.39332711
"37413",-91.8050308227539,35.0363693237305,140,6239,"Arkansas","Prairie",5117,"AR",0.120423892,-78.91618497,0.481695568,-29.72061657
"37515",-92.1144256591797,35.0077209472656,141,6291,"Arkansas","Pulaski",5119,"AR",0.875982297,0.884757553,0.883621678,8.330022387
"37802",-90.8138122558594,36.153636932373,142,6333,"Arkansas","Randolph",1111,"AL",0.399307866,-17.00204494,0.310572785,-58.22978732
"38178",-93.0712661743164,34.7728080749512,144,6396,"Arkansas","Saline",5125,"AR",0.553063888,23.9828028,0.337023306,-6.55407996
"38383",-93.7072448730469,34.7556190490723,145,6438,"Arkansas","Scott",5127,"AR",0.374076499,107.5563453,0.467595623,-48.11091368
"38812",-92.4123611450195,36.0619659423828,146,6478,"Arkansas","Searcy",5129,"AR",0.504477235,3.291713961,0.378357927,3.291713961
"38826",-94.0395584106445,35.1967964172363,147,6493,"Arkansas","Sebastian",5131,"AR",0.757241118,-8.016524521,0.788792831,12.14841352
"38865",-94.4864654541016,34.211311340332,148,6533,"Arkansas","Sevier",5133,"AR",0.401698611,-15.58303684,0.631240675,112.2483645
"39021",-91.2664489746094,36.2338485717773,149,6586,"Arkansas","Sharp",5135,"AR",0.532355377,-7.51390039,1.005560156,2.7623329
"39060",-92.2118301391602,36.1192588806152,150,6626,"Arkansas","Stone",5137,"AR",0.800384184,23.45926045,0.640307348,-12.20674813
"39192",-92.062858581543,33.002368927002,151,6671,"Arkansas","Union",5139,"AR",0.671190991,17.30181222,0.696049917,21.64632378
"40110",-93.9192428588867,35.7640266418457,153,6737,"Arkansas","Washington",1129,"AL",0.178210764,-22.06397766,0.356421528,3.914696448
"40699",-91.3523941040039,35.4259834289551,154,6757,"Arkansas","White",5145,"AR",0.763436482,18.85303796,0.585301303,1.475283166
"41054",-91.4669799804688,35.0879364013672,155,6829,"Arkansas","Woodruff",5147,"AR",0.578871201,40.74288471,0.289435601,5.557163531
"41113",-93.7072448730469,35.0191802978516,156,6889,"Arkansas","Yell",5149,"AR",0.4100041,-9.204592046,0.227780056,-66.37207113
"41188",-121.478507995605,37.4828987121582,157,6965,"California","Alameda",6001,"CA",0.767262951,7.25498648,0.96590708,11.08591178
"41224",-120.074768066406,38.7090263366699,158,7002,"California","Alpine",6003,"CA",1.792114695,7.258064516,0.896057348,NA
"41260",-120.074768066406,38.7090263366699,159,7039,"California","Amador",6005,"CA",0.381035327,-14.29394794,1.088672364,1.533302089
"41293",-121.62174987793,39.3106346130371,160,7073,"California","Butte",6007,"CA",0.66446368,-2.644110577,0.62432829,12.46967091
"41509",-120.069030761719,38.5199508666992,161,7146,"California","Calaveras",6009,"CA",0.649874507,24.28849946,0.851559699,-6.936690058
"41544",-121.822280883789,38.9382133483887,162,7182,"California","Colusa",6011,"CA",0.420187684,-25.59176432,0.700312806,14.47420874
"41585",-120.682106018066,36.2739562988281,166,7374,"California","Fresno",6019,"CA",0.620099506,1.49343737,0.528999745,0.300746365
"41686",-122.939552307129,39.8091087341309,167,7476,"California","Glenn",6021,"CA",0.500804865,-6.182555297,0.536576641,-11.30703757
"41721",-123.420837402344,41.1899375915527,168,7512,"California","Humboldt",6023,"CA",0.682447018,7.380228148,0.993998917,-1.524895442
"41919",-114.688957214355,33.4320907592773,169,7579,"California","Imperial",6025,"CA",0.563959105,16.87406947,0.435532774,-19.44610606
"41944",-115.897903442383,36.0046691894531,170,7605,"California","Inyo",6027,"CA",0.760456274,0.727865291,1.629549158,16.22445995
"42007",-117.651153564453,34.8186454772949,171,7669,"California","Kern",6029,"CA",0.628866816,-0.372974755,0.500806665,9.11762261
"42044",-119.51326751709,35.7812118530273,172,7707,"California","Kings",6031,"CA",0.578961729,13.02965912,0.299462963,-6.935467157
"42094",-122.400978088379,38.9324798583984,173,7733,"California","Lake",6033,"CA",0.514146828,14.19910215,0.65436869,10.92065903
"42898",-120.006011962891,41.2013931274414,174,7801,"California","Lassen",6035,"CA",0.409461715,19.97228259,0.472455825,-2.285018704
"42923",-119.295539855957,37.7751083374023,176,7879,"California","Madera",6039,"CA",0.50469757,15.87390325,0.342935528,-5.226591475
"42991",-122.945289611816,38.3022308349609,177,7948,"California","Marin",6041,"CA",0.70949185,8.527161331,1.2042186,4.530341343
"43053",-120.384162902832,37.6318664550781,178,8011,"California","Mariposa",6043,"CA",0.452437507,2.997398484,0.735210949,11.58051503
"43098",-123.546890258789,40.0096435546875,179,8057,"California","Mendocino",6045,"CA",0.591790051,-8.924549364,1.263244148,-3.639736426
"43171",-120.533126831055,37.0359916687012,180,8131,"California","Merced",6047,"CA",0.484319681,-2.24414067,0.345406284,3.746067026
"43214",-121.341003417969,41.2013931274414,181,8175,"California","Modoc",6049,"CA",0.332483653,-19.82156711,0.886623074,71.04732351
"43221",-119.140846252441,38.3996315002441,182,8183,"California","Mono",6051,"CA",1.214545974,6.333500036,2.643423591,-7.427305851
"43275",-120.200813293457,35.7754859924316,183,8238,"California","Monterey",6053,"CA",0.584220483,3.759328138,0.867057383,-2.808316038
"43365",-122.395240783691,38.8637275695801,184,8329,"California","Napa",6055,"CA",0.557645747,0.584422154,1.00940939,1.150297947
"43414",-121.272247314453,39.0356140136719,185,8379,"California","Nevada",5099,"AR",0.343918377,3.840421873,0.229278918,3.840421873
"43474",-117.67407989502,33.8847236633301,186,8410,"California","Orange",6059,"CA",0.886977172,4.89144135,0.858047092,6.486852492
"43770",-120.006011962891,39.1158256530762,187,8448,"California","Placer",6061,"CA",0.836709767,0.936556094,0.823257841,1.087242271
"43816",-121.05451965332,39.608570098877,188,8495,"California","Plumas",6063,"CA",0.537461034,-22.57106003,2.042351929,21.15351784
"43882",-116.07551574707,33.4320907592773,189,8562,"California","Riverside",6065,"CA",0.612208713,1.407696633,0.505737632,0.712395011
"43938",-121.002960205078,38.2964973449707,190,8619,"California","Sacramento",6067,"CA",0.680824763,-1.03091416,0.653834683,3.94945693
"43998",-121.46704864502,41.2013931274414,201,9200,"California","Shasta",6089,"CA",0.695201442,-5.920140183,0.667393384,-3.020629749
"44063",-121.008682250977,39.6314888000488,202,9266,"California","Sierra",6091,"CA",0.333000333,8.158508159,0.999000999,62.23776224
"44131",-121.46704864502,41.2013931274414,203,9301,"California","Siskiyou",6093,"CA",0.641789676,-15.45742346,1.077289814,-12.27335239
"44203",-122.11449432373,38.5142250061035,204,9374,"California","Solano",6095,"CA",0.649454574,-5.172698498,0.556675349,0.616003985
"44246",-122.37232208252,38.1761779785156,205,9418,"California","Sonoma",6097,"CA",0.589655641,1.336020481,1.023402333,5.526866074
"44306",-120.384162902832,37.6318664550781,206,9479,"California","Stanislaus",6099,"CA",0.633462219,3.197047625,0.541356436,4.106505999
"44349",-121.598831176758,38.737678527832,207,9523,"California","Sutter",6101,"CA",0.667730863,16.6872048,0.459064968,-25.31012969
"44392",-121.501426696777,40.4680099487305,208,9567,"California","Tehama",6103,"CA",0.539109201,-0.279068292,0.539109201,-8.364549242
"44460",-123.546890258789,40.0096435546875,209,9636,"California","Trinity",6105,"CA",0.759301443,-30.33662364,0.911161731,25.39407745
"44648",-118.006393432617,35.7926750183105,210,9731,"California","Tulare",6107,"CA",0.497601474,7.646225319,0.449587296,-4.163998118
"44696",-119.266891479492,37.7464599609375,211,9780,"California","Tuolumne",6109,"CA",0.538723041,3.741338634,0.984562798,-11.31788794
"44766",-118.894470214844,34.8186454772949,212,9851,"California","Ventura",6111,"CA",0.713797806,6.759267104,0.697252824,-0.637815678
"44800",-121.593101501465,38.3136863708496,213,9886,"California","Yolo",6113,"CA",0.693675033,0.427556827,0.712943783,16.75389462
"44862",-121.415489196777,38.9955062866211,214,9949,"California","Yuba",6115,"CA",0.392072033,-6.41632642,0.310953681,-7.223082227
"44912",-104.146537780762,40.0096435546875,215,10000,"Colorado","Adams",8001,"CO",0.657350047,6.076820583,0.468049875,-4.705920229
"45116",-106.054481506348,37.3912239074707,216,10018,"Colorado","Alamosa",8003,"CO",0.865426222,-5.489274896,0.927242381,-25.38626966
"45126",-104.656471252441,39.5684623718262,217,10029,"Colorado","Arapahoe",8005,"CO",0.738501117,-3.728002823,0.753044903,7.909801703
"45138",-106.472747802734,36.9844245910645,218,10042,"Colorado","Archuleta",8007,"CO",0.571708592,-36.75343768,2.0418164,12.94028986
"45154",-103.00634765625,37.0016136169434,219,10059,"Colorado","Baca",8009,"CO",0.274348422,-48.32647462,0.274348422,-65.55098308
"45167",-103.413154602051,37.6318664550781,220,10073,"Colorado","Bent",8011,"CO",0.177619893,-42.93960924,0.355239787,-23.91947898
"45176",-105.641952514648,40.2560157775879,221,10083,"Colorado","Boulder",8013,"CO",0.823405131,0.58922935,1.101065001,5.153500874
"45200",-106.037300109863,38.4454689025879,222,10108,"Colorado","Chaffee",8015,"CO",0.925774656,-33.8922834,2.23275064,4.892274797
"45274",-102.055244445801,39.0528030395508,223,10183,"Colorado","Cheyenne",8017,"CO",0,0,1.068947087,-34.33101728
"45298",-106.008651733398,36.9844245910645,225,10222,"Colorado","Conejos",8021,"CO",0.120992136,-1.512401694,0.362976407,-26.13430127
"45323",-105.240882873535,36.9844245910645,226,10248,"Colorado","Costilla",8023,"CO",0,0,1.121076233,-2.438340807
