State,FIPS,ANSICODE,County,lat,long                                                                                                            
AL,1091,161572,Marengo,32.247591,-87.791091
AL,1093,161573,Marion,34.138219,-87.881551
AL,1095,161574,Marshall,34.309564,-86.321668
AL,1097,161575,Mobile,30.684572,-88.196568
AL,1099,161576,Monroe,31.580332,-87.383266
AL,1101,161577,Montgomery,32.202881,-86.204461
AL,1103,161578,Morgan,34.454484,-86.846402
AL,1105,161579,Perry,32.639005,-87.293827
AL,1107,161580,Pickens,33.296793,-88.096863
AL,1109,161581,Pike,31.798651,-85.941604
AL,1111,161582,Randolph,33.296475,-85.464068
AL,1113,161583,Russell,32.289811,-85.18698
AL,1115,164997,St.,33.712963,-86.315663
AL,1117,161584,Shelby,33.263043,-86.678089
AL,1119,161585,Sumter,32.597481,-88.200057
AL,1121,161586,Talladega,33.369314,-86.17593
AL,1123,161587,Tallapoosa,32.863369,-85.799553
AL,1125,161588,Tuscaloosa,33.29022,-87.522783
AL,1127,161589,Walker,33.791558,-87.301094
AL,1129,161590,Washington,31.405217,-88.197564
AL,1131,161591,Wilcox,31.990082,-87.304935
AL,1133,161592,Winston,34.154607,-87.36529
AK,2013,1419964,Aleutians,55.245044,-161.997477
AK,2016,1419965,Aleutians,51.948964,179.621188
AK,2020,1416061,Anchorage,61.17425,-149.284329
AK,2050,1419966,Bethel,60.929141,-160.152625
AK,2060,1419967,Bristol,58.741615,-156.966992
AK,2068,1419988,Denali,63.681106,-150.026544
AK,2070,1419968,Dillingham,59.543326,-158.267123
AK,2090,1419969,Fairbanks,64.692317,-146.601733
AK,2100,1419970,Haines,59.098404,-135.575791
AK,2105,2371430,Hoonah-Angoon,58.253462,-136.320731
AK,2110,1419971,Juneau,58.643523,-134.281167
AK,2122,1419972,Kenai,60.366668,-152.322283
AK,2130,1419973,Ketchikan,55.449938,-131.106685
AK,2150,1419974,Kodiak,57.7044,-153.918372
AK,2158,1419985,Kusilvak,62.283588,-163.190171
AK,2164,1419975,Lake,58.108674,-156.414001
AK,2170,1419976,Matanuska-Susitna,62.279075,-149.617562
AK,2180,1419977,Nome,64.783686,-164.188912
AK,2185,1419978,North,69.449343,-153.47283
AK,2188,1419979,Northwest,67.005066,-160.021086
AK,2195,2516404,Petersburg,57.112458,-133.008598
AK,2198,1419980,Prince,55.682773,-133.162389
AK,2220,1419981,Sitka,57.193204,-135.367396
AK,2230,2339479,Skagway,59.575097,-135.335418
AK,2240,1419983,Southeast,63.864997,-143.218628
AK,2261,1419984,Valdez-Cordova,61.34984,-145.023141
AK,2275,2516402,Wrangell,56.317416,-132.343978
AK,2282,1419986,Yakutat,59.963024,-141.761587
AK,2290,1419987,Yukon-Koyukuk,65.375718,-151.577873
AZ,4001,25441,Apache,35.385084,-109.490172
AZ,4003,25442,Cochise,31.840129,-109.775163
AZ,4005,25443,Coconino,35.829692,-111.773728
AZ,4007,40471,Gila,33.789618,-110.81187
AZ,4009,25444,Graham,32.931828,-109.87831
AZ,4011,42807,Greenlee,33.238872,-109.242323
AZ,4012,43540,La,33.72761,-114.038806
AZ,4013,37026,Maricopa,33.346541,-112.495534
AZ,4015,25445,Mohave,35.717705,-113.749689
AZ,4017,42808,Navajo,35.390785,-110.321025
AZ,4019,25446,Pima,32.128523,-111.783027
AZ,4021,25447,Pinal,32.918538,-111.366387
AZ,4023,40472,Santa,31.525733,-110.845228
AZ,4025,42809,Yavapai,34.631212,-112.577385
AZ,4027,23901,Yuma,32.773942,-113.910905
AR,5001,63755,Arkansas,34.28957,-91.376547
AR,5003,63756,Ashley,33.190835,-91.772267
AR,5005,69895,Baxter,36.280759,-92.330476
AR,5007,69896,Benton,36.337836,-94.256224
AR,5009,69897,Boone,36.304299,-93.079236
AR,5011,63757,Bradley,33.466549,-92.169156
AR,5013,63758,Calhoun,33.56046,-92.513879
AR,5015,66975,Carroll,36.337774,-93.541663
AR,5017,69160,Chicot,33.267139,-91.297158
AR,5019,66845,Clark,34.053316,-93.176208
AR,5021,63759,Clay,36.367302,-90.418704
AR,5023,66983,Cleburne,35.566315,-92.05995
AR,5025,63760,Cleveland,33.893201,-92.188714
AR,5027,63761,Columbia,33.223038,-93.232843
AR,5029,66846,Conway,35.265702,-92.689248
AR,5031,66847,Craighead,35.827729,-90.631421
AR,5033,69161,Crawford,35.583011,-94.236219
AR,5035,69162,Crittenden,35.211879,-90.315332
AR,5037,66848,Cross,35.285692,-90.763984
AR,5039,66849,Dallas,33.967823,-92.653999
AR,5041,66850,Desha,33.828752,-91.244103
AR,5043,66851,Drew,33.587242,-91.722778
AR,5045,66852,Faulkner,35.146286,-92.324711
AR,5047,66853,Franklin,35.508558,-93.887665
AR,5049,66854,Fulton,36.383619,-91.819664
AR,5051,66855,Garland,34.578852,-93.146932
AR,5053,66856,Grant,34.285568,-92.422979
AR,5055,66857,Greene,36.120607,-90.566346
AR,5057,66858,Hempstead,33.728611,-93.665809
AR,5059,66859,Hot,34.315177,-92.944147
AR,5061,66872,Howard,34.083064,-93.990931
AR,5063,69163,Independence,35.737499,-91.559942
AR,5065,66860,Izard,36.094879,-91.913625
AR,5067,66861,Jackson,35.596467,-91.223205
AR,5069,66862,Jefferson,34.277628,-91.930701
AR,5071,66863,Johnson,35.573359,-93.466322
AR,5073,66864,Lafayette,33.240629,-93.611514
AR,5075,66865,Lawrence,36.041098,-91.101153
AR,5077,66866,Lee,34.779858,-90.779345
AR,5079,66873,Lincoln,33.957675,-91.727626
AR,5081,66874,Little,33.699497,-94.229774
AR,5083,82850,Logan,35.218654,-93.72091
AR,5085,69164,Lonoke,34.755114,-91.894132
AR,5087,69165,Madison,36.012545,-93.724053
AR,5089,69898,Marion,36.266664,-92.678577
AR,5091,69166,Miller,33.305505,-93.901502
AR,5093,69899,Mississippi,35.766944,-90.052207
AR,5095,69167,Monroe,34.679512,-91.20331
AR,5097,69168,Montgomery,34.545581,-93.663329
AR,5099,69169,Nevada,33.666699,-93.305072
AR,5101,69900,Newton,35.910742,-93.215899
AR,5103,69170,Ouachita,33.591168,-92.878413
AR,5105,69171,Perry,34.946363,-92.926877
AR,5107,69172,Phillips,34.423687,-90.855593
AR,5109,69173,Pike,34.158191,-93.658659
AR,5111,69174,Poinsett,35.56887,-90.681104
AR,5113,69175,Polk,34.490915,-94.230884
AR,5115,69901,Pope,35.456557,-93.026818
AR,5117,69176,Prairie,34.831116,-91.55362
AR,5119,69177,Pulaski,34.770311,-92.312996
AR,5121,69178,Randolph,36.341298,-91.028441
AR,5123,83331,St.,35.014026,-90.742138
AR,5125,67102,Saline,34.648525,-92.674463
AR,5127,69179,Scott,34.858869,-94.063641
AR,5129,69180,Searcy,35.896387,-92.695888
AR,5131,69181,Sebastian,35.196981,-94.274989
AR,5133,69182,Sevier,33.994877,-94.243279
AR,5135,69183,Sharp,36.173399,-91.471069
AR,5137,69902,Stone,35.857017,-92.140508
AR,5139,69903,Union,33.168219,-92.598145
AR,5141,69904,Van,35.582953,-92.515976
AR,5143,69905,Washington,35.971209,-94.218417
AR,5145,69906,White,35.255118,-91.753034
AR,5147,69907,Woodruff,35.192777,-91.244535
AR,5149,69908,Yell,34.997713,-93.408303
CA,6001,1675839,Alameda,37.647139,-121.912488
CA,6003,1675840,Alpine,38.621783,-119.798352
CA,6005,1675841,Amador,38.44355,-120.653856
CA,6007,1675842,Butte,39.665959,-121.601919
CA,6009,1675885,Calaveras,38.1839,-120.561441
CA,6011,1675902,Colusa,39.177739,-122.237563
CA,6013,1675903,Contra,37.919479,-121.951543
CA,6015,1682074,Del,41.763958,-124.003614
CA,6017,277273,El,38.785532,-120.534398
CA,6019,277274,Fresno,36.761006,-119.655019
CA,6021,277275,Glenn,39.602546,-122.4017
CA,6023,1681908,Humboldt,40.706655,-123.926176
CA,6025,277277,Imperial,33.040814,-115.3554
CA,6027,1804637,Inyo,36.561977,-117.403927
CA,6029,2054176,Kern,35.346629,-118.729506
CA,6031,277280,Kings,36.072478,-119.81553
CA,6033,277281,Lake,39.094802,-122.746757
CA,6035,1693324,Lassen,40.721086,-120.629952
CA,6037,277283,Los,34.196398,-118.261862
CA,6039,277284,Madera,37.209821,-119.749802
CA,6041,277285,Marin,38.051817,-122.745974
CA,6043,277286,Mariposa,37.57003,-119.912861
CA,6045,277287,Mendocino,39.432388,-123.442881
CA,6047,277288,Merced,37.194806,-120.722802
CA,6049,277289,Modoc,41.592918,-120.71837
CA,6051,277290,Mono,37.915836,-118.875167
CA,6053,277291,Monterey,36.240107,-121.315572
CA,6055,277292,Napa,38.5071,-122.325904
CA,6057,1682927,Nevada,39.297508,-120.771343
CA,6059,277294,Orange,33.675687,-117.777207
CA,6061,277295,Placer,39.062032,-120.722718
CA,6063,277296,Plumas,39.992295,-120.824371
CA,6065,277297,Riverside,33.729828,-116.002239
CA,6067,277298,Sacramento,38.450016,-121.340441
CA,6069,277299,San,36.610702,-121.085296
CA,6071,277300,San,34.85722,-116.181197
CA,6073,277301,San,33.023604,-116.776117
CA,6075,277302,San,37.727239,-123.032229
CA,6077,277303,San,37.934982,-121.272244
CA,6079,277304,San,35.385224,-120.447544
CA,6081,277305,San,37.414672,-122.371546
CA,6083,277306,Santa,34.537057,-120.039973
CA,6085,277307,Santa,37.220777,-121.690622
CA,6087,277308,Santa,37.012488,-122.007205
CA,6089,1682610,Shasta,40.760514,-122.043556
CA,6091,277310,Sierra,39.576925,-120.521993
CA,6093,277311,Siskiyou,41.587986,-122.533287
CA,6095,277312,Solano,38.267226,-121.939594
CA,6097,1657246,Sonoma,38.525182,-122.92611
CA,6099,277314,Stanislaus,37.562316,-121.002831
CA,6101,277315,Sutter,39.03619,-121.70394
CA,6103,1692767,Tehama,40.126157,-122.232274
CA,6105,277317,Trinity,40.647803,-123.114476
CA,6107,277318,Tulare,36.228834,-118.781055
CA,6109,277319,Tuolumne,38.021434,-119.964733
CA,6111,277320,Ventura,34.358741,-119.133143
CA,6113,277321,Yolo,38.679595,-121.902441
CA,6115,277322,Yuba,39.266247,-121.340781
CO,8001,198116,Adams,39.874325,-104.331872
CO,8003,198117,Alamosa,37.568442,-105.788041
CO,8005,198118,Arapahoe,39.644554,-104.331706
CO,8007,198119,Archuleta,37.202395,-107.050863
CO,8009,198120,Baca,37.306693,-102.537758
CO,8011,198121,Bent,37.931891,-103.077584
CO,8013,198122,Boulder,40.09497,-105.397691
CO,8014,1945881,Broomfield,39.95321,-105.051995
CO,8015,198123,Chaffee,38.738223,-106.316683
CO,8017,198124,Cheyenne,38.835386,-102.604585
CO,8019,198125,Clear,39.669732,-105.69257
CO,8021,198126,Conejos,37.213406,-106.176447
CO,8023,198127,Costilla,37.277547,-105.42894
CO,8025,198128,Crowley,38.30618,-103.772736
CO,8027,198129,Custer,38.101994,-105.373515
CO,8029,198130,Delta,38.861756,-107.864757
CO,8031,198131,Denver,39.76185,-104.881105
CO,8033,198132,Dolores,37.747602,-108.530383
CO,8035,198133,Douglas,39.325414,-104.925987
CO,8037,198134,Eagle,39.626992,-106.695169
CO,8039,198136,Elbert,39.310582,-104.117729
CO,8041,198135,El,38.827383,-104.527472
CO,8043,198137,Fremont,38.45517,-105.424958
CO,8045,198138,Garfield,39.599352,-107.90978
CO,8047,198139,Gilpin,39.861156,-105.528878
CO,8049,198140,Grand,40.123205,-106.095935
CO,8051,198141,Gunnison,38.67264,-107.066506
CO,8053,198142,Hinsdale,37.821165,-107.338261
CO,8055,198143,Huerfano,37.687815,-104.959928
CO,8057,198144,Jackson,40.663432,-106.329248
CO,8059,198145,Jefferson,39.579511,-105.245462
CO,8061,198146,Kiowa,38.387663,-102.756849
CO,8063,198147,Kit,39.30534,-102.603023
CO,8065,198149,Lake,39.205341,-106.350079
CO,8067,198148,La,37.287367,-107.839718
CO,8069,198150,Larimer,40.658093,-105.486764
CO,8071,198151,Las,37.318831,-104.04411
CO,8073,198152,Lincoln,38.99374,-103.507555
CO,8075,198153,Logan,40.728091,-103.090464
CO,8077,198154,Mesa,39.019421,-108.461893
CO,8079,198155,Mineral,37.549067,-107.003236
CO,8081,198156,Moffat,40.616358,-108.211099
CO,8083,198157,Montezuma,37.338025,-108.595786
CO,8085,198158,Montrose,38.407507,-108.266282
CO,8087,198159,Morgan,40.263167,-103.812278
CO,8089,198160,Otero,37.88417,-103.72126
CO,8091,198161,Ouray,38.154731,-107.78848
CO,8093,198162,Park,39.118914,-105.717648
CO,8095,198163,Phillips,40.594712,-102.345105
CO,8097,198164,Pitkin,39.217332,-106.915783
CO,8099,198165,Prowers,37.958181,-102.392161
CO,8101,198166,Pueblo,38.170658,-104.489892
CO,8103,198167,Rio,39.972622,-108.200716
CO,8105,198168,Rio,37.485853,-106.453128
CO,8107,198169,Routt,40.483664,-106.987702
CO,8109,198170,Saguache,38.031651,-106.234666
CO,8111,198171,San,37.781074,-107.670257
CO,8113,198172,San,38.009374,-108.427326
CO,8115,198173,Sedgwick,40.871568,-102.355358
CO,8117,198174,Summit,39.621023,-106.137555
CO,8119,198175,Teller,38.870023,-105.187339
CO,8121,198176,Washington,39.96579,-103.209744
CO,8123,198177,Weld,40.555961,-104.383666
CO,8125,198178,Yuma,40.000631,-102.422649
CT,9001,212794,Fairfield,41.227413,-73.367061
CT,9003,212338,Hartford,41.806053,-72.732916
CT,9005,212796,Litchfield,41.791883,-73.235404
CT,9007,212797,Middlesex,41.433003,-72.52278
CT,9009,212798,New,41.349717,-72.900204
CT,9011,212799,New,41.472652,-72.108634
CT,9013,212668,Tolland,41.858081,-72.340978
CT,9015,212801,Windham,41.824999,-71.990702
DE,10001,217271,Kent,39.097088,-75.502982
DE,10003,217270,New,39.575915,-75.644132
DE,10005,217269,Sussex,38.673227,-75.337024
DC,11001,1702382,District,38.904103,-77.017229
FL,12001,308548,Alachua,29.67574,-82.357221
FL,12003,306920,Baker,30.324442,-82.302284
FL,12005,295738,Bay,30.238263,-85.63151
FL,12007,303634,Bradford,29.952386,-82.166599
FL,12009,295749,Brevard,28.298304,-80.700331
FL,12011,295753,Broward,26.193535,-80.476683
FL,12013,306919,Calhoun,30.388801,-85.197915
FL,12015,295742,Charlotte,26.868933,-81.941077
FL,12017,295752,Citrus,28.84364,-82.52481
FL,12019,295726,Clay,29.986584,-81.865036
FL,12021,295754,Collier,26.118786,-81.400955
FL,12023,306909,Columbia,30.221333,-82.623168
FL,12027,294452,DeSoto,27.190581,-81.806253
FL,12029,295725,Dixie,29.580899,-83.195666
FL,12031,293656,Duval,30.335245,-81.648113
FL,12033,295737,Escambia,30.611638,-87.3389
FL,12035,308547,Flagler,29.474912,-81.286305
FL,12037,306911,Franklin,29.810176,-84.799174
FL,12039,306918,Gadsden,30.578687,-84.612607
FL,12041,303633,Gilchrist,29.723456,-82.795801
FL,12043,295743,Glades,26.95481,-81.19082
FL,12045,306917,Gulf,29.907257,-85.256537
FL,12047,295736,Hamilton,30.491226,-82.951069
FL,12049,295746,Hardee,27.492846,-81.82158
FL,12051,307626,Hendry,26.539967,-81.152114
FL,12053,295751,Hernando,28.573043,-82.466227
FL,12055,295756,Highlands,27.342627,-81.340921
FL,12057,295757,Hillsborough,27.906607,-82.349719
FL,12059,295735,Holmes,30.866222,-85.812959
FL,12061,307624,Indian,27.700528,-80.574789
FL,12063,295734,Jackson,30.789249,-85.208814
FL,12065,295733,Jefferson,30.424558,-83.890859
FL,12067,295732,Lafayette,29.990066,-83.17851
FL,12069,308551,Lake,28.764113,-81.712282
FL,12071,295758,Lee,26.559035,-81.891994
FL,12073,306916,Leon,30.45931,-84.2778
FL,12075,295724,Levy,29.284457,-82.783462
FL,12077,308549,Liberty,30.259849,-84.86858
FL,12079,295731,Madison,30.447233,-83.470416
FL,12081,295744,Manatee,27.481682,-82.368767
FL,12083,306922,Marion,29.202805,-82.0431
FL,12085,308550,Martin,27.083604,-80.398201
FL,12086,295755,Miami-Dade,25.61058,-80.499137
FL,12087,295759,Monroe,24.535414,-82.00692
FL,12089,295730,Nassau,30.605926,-81.764929
FL,12091,306915,Okaloosa,30.665851,-86.594187
FL,12093,295760,Okeechobee,27.385592,-80.887388
FL,12095,295750,Orange,28.514435,-81.323295
FL,12097,295748,Osceola,28.059027,-81.139312
FL,12099,295761,Palm,26.649124,-80.448374
FL,12101,295739,Pasco,28.307465,-82.464584
FL,12103,295745,Pinellas,27.903122,-82.739518
FL,12105,295747,Polk,27.953115,-81.692783
FL,12107,306910,Putnam,29.606006,-81.740894
FL,12109,308371,St.,29.890644,-81.383948
FL,12111,308372,St.,27.379812,-80.443537
FL,12113,306914,Santa,30.701838,-87.012762
FL,12115,295741,Sarasota,27.184386,-82.365835
FL,12117,303665,Seminole,28.690092,-81.131989
FL,12119,295740,Sumter,28.71431,-82.074703
FL,12121,295729,Suwannee,30.189244,-82.992754
FL,12123,295728,Taylor,30.009908,-83.609483
FL,12125,306913,Union,30.05428,-82.366918
FL,12127,306921,Volusia,29.057769,-81.161792
FL,12129,306912,Wakulla,30.140358,-84.375112
FL,12131,295727,Walton,30.631211,-86.176614
FL,12133,295762,Washington,30.602217,-85.662797
GA,13001,349113,Appling,31.739712,-82.290103
GA,13003,345784,Atkinson,31.296806,-82.878151
GA,13005,344784,Bacon,31.55021,-82.451433
GA,13007,342832,Baker,31.31958,-84.454881
GA,13009,345255,Baldwin,33.05949,-83.255457
GA,13011,349230,Banks,34.351922,-83.498441
GA,13013,356976,Barrow,33.992009,-83.712303
GA,13015,351604,Bartow,34.240917,-84.838188
GA,13017,351606,Ben,31.740775,-83.14719
GA,13019,326638,Berrien,31.288652,-83.22787
GA,13021,1672039,Bibb,32.808845,-83.694194
GA,13023,347451,Bleckley,32.435403,-83.331717
GA,13025,351605,Brantley,31.197334,-81.982978
GA,13027,345518,Brooks,30.822934,-83.581905
GA,13029,350496,Bryan,32.017969,-81.438543
GA,13031,350302,Bulloch,32.391711,-81.744021
GA,13033,347944,Burke,33.060181,-82.000164
GA,13035,352295,Butts,33.290355,-83.958221
GA,13037,344074,Calhoun,31.521279,-84.62629
GA,13039,1671316,Camden,30.913347,-81.642001
GA,13043,342852,Candler,32.40395,-82.071266
GA,13045,326650,Carroll,33.582237,-85.080527
GA,13047,353230,Catoosa,34.900218,-85.139386
GA,13049,357747,Charlton,30.779904,-82.139644
GA,13051,1694477,Chatham,31.98041,-81.085196
GA,13053,351012,Chattahoochee,32.347445,-84.788021
GA,13055,352213,Chattooga,34.474178,-85.345289
GA,13057,1685718,Cherokee,34.244317,-84.475057
GA,13059,1672699,Clarke,33.952185,-83.367152
GA,13061,344805,Clay,31.619831,-84.992583
GA,13063,1672399,Clayton,33.542686,-84.355573
GA,13065,351285,Clinch,30.917653,-82.702614
GA,13067,1686112,Cobb,33.93994,-84.574166
GA,13069,347456,Coffee,31.549245,-82.844938
GA,13071,343936,Colquitt,31.189707,-83.769773
GA,13073,348865,Columbia,33.547631,-82.252296
GA,13075,343878,Cook,31.152516,-83.429445
GA,13077,326666,Coweta,33.352897,-84.762138
GA,13079,342918,Crawford,32.709428,-83.979187
GA,13081,351607,Crisp,31.915149,-83.753531
GA,13083,347465,Dade,34.852424,-85.506201
GA,13085,351312,Dawson,34.442842,-84.173284
GA,13087,352234,Decatur,30.880655,-84.584144
GA,13089,1687424,DeKalb,33.770661,-84.226343
GA,13091,348116,Dodge,32.164349,-83.167866
GA,13093,351608,Dooly,32.151995,-83.807167
GA,13095,351259,Dougherty,31.532588,-84.20904
GA,13097,1686467,Douglas,33.701242,-84.767314
GA,13099,345041,Early,31.324191,-84.906723
GA,13101,348092,Echols,30.7085,-82.836132
GA,13103,350219,Effingham,32.361711,-81.343337
GA,13105,347828,Elbert,34.116455,-82.841834
GA,13107,347508,Emanuel,32.5911,-82.299763
GA,13109,345923,Evans,32.153083,-81.890153
GA,13111,351094,Fannin,34.866543,-84.317331
GA,13113,1687740,Fayette,33.412717,-84.493941
GA,13115,353665,Floyd,34.263692,-85.213685
GA,13117,1673358,Forsyth,34.225143,-84.127435
GA,13119,349324,Franklin,34.375081,-83.228064
GA,13121,1694833,Fulton,33.790034,-84.468182
GA,13123,351260,Gilmer,34.690506,-84.454624
GA,13125,345642,Glascock,33.227491,-82.606913
GA,13127,1671513,Glynn,31.21271,-81.49645
GA,13129,356672,Gordon,34.509667,-84.873862
GA,13131,351261,Grady,30.875903,-84.245008
GA,13133,348672,Greene,33.57674,-83.166613
GA,13135,1688166,Gwinnett,33.959146,-84.023087
GA,13137,351383,Habersham,34.634392,-83.525875
GA,13139,1686953,Hall,34.317569,-83.8185
GA,13141,348209,Hancock,33.26922,-83.000465
GA,13143,350637,Haralson,33.795165,-85.220063
GA,13145,326700,Harris,32.731549,-84.912432
GA,13147,1687995,Hart,34.348733,-82.96329
GA,13149,347067,Heard,33.291347,-85.137886
GA,13151,1671894,Henry,33.452947,-84.154021
GA,13153,1671693,Houston,32.458381,-83.662856
GA,13155,352302,Irwin,31.604306,-83.277037
GA,13157,349570,Jackson,34.130881,-83.562566
GA,13159,346144,Jasper,33.318169,-83.690142
GA,13161,1687999,Jeff,31.811615,-82.636825
GA,13163,345714,Jefferson,33.058176,-82.420004
GA,13165,342985,Jenkins,32.794563,-81.971524
GA,13167,346664,Johnson,32.694584,-82.66397
GA,13169,345367,Jones,33.020226,-83.562339
GA,13171,326713,Lamar,33.07446,-84.146721
GA,13173,348102,Lanier,31.038197,-83.063164
GA,13175,346568,Laurens,32.39322,-82.926317
GA,13177,343390,Lee,31.818419,-84.146681
GA,13179,357095,Liberty,31.807458,-81.457871
GA,13181,1688000,Lincoln,33.792151,-82.448299
GA,13183,326719,Long,31.749563,-81.74287
GA,13185,326720,Lowndes,30.833145,-83.268995
GA,13187,357196,Lumpkin,34.56814,-83.998925
GA,13189,348794,McDuffie,33.479623,-82.478733
GA,13191,356886,McIntosh,31.488592,-81.37246
GA,13193,346957,Macon,32.362686,-84.051231
GA,13195,1688004,Madison,34.128526,-83.203737
GA,13197,344107,Marion,32.359532,-84.529567
GA,13199,346892,Meriwether,33.029267,-84.667058
GA,13201,344088,Miller,31.162931,-84.730398
GA,13205,343645,Mitchell,31.228997,-84.192038
GA,13207,343073,Monroe,33.017435,-83.922938
GA,13209,352276,Montgomery,32.172108,-82.533349
GA,13211,346008,Morgan,33.593474,-83.491049
GA,13213,1688005,Murray,34.797097,-84.73799
GA,13215,357428,Muscogee,32.510197,-84.874946
GA,13217,1673547,Newton,33.544041,-83.855184
GA,13219,356774,Oconee,33.834125,-83.437728
GA,13221,351262,Oglethorpe,33.866806,-83.074081
GA,13223,349912,Paulding,33.921026,-84.867162
GA,13225,343153,Peach,32.571324,-83.831978
GA,13227,1673011,Pickens,34.456804,-84.490333
GA,13229,349086,Pierce,31.353988,-82.210427
GA,13231,346482,Pike,33.090768,-84.386627
GA,13233,343585,Polk,33.996015,-85.188338
GA,13235,347593,Pulaski,32.238803,-83.481845
GA,13237,347246,Putnam,33.32106,-83.37179
GA,13239,350547,Quitman,31.862948,-85.004801
GA,13241,351489,Rabun,34.883949,-83.404859
GA,13243,352242,Randolph,31.762651,-84.752311
GA,13245,358024,Richmond,33.361487,-82.074998
GA,13247,357592,Rockdale,33.652081,-84.02637
GA,13249,344129,Schley,32.263444,-84.322708
GA,13251,350204,Screven,32.744751,-81.617585
GA,13253,351263,Seminole,30.933894,-84.867592
GA,13255,353055,Spalding,33.262389,-84.286067
GA,13257,350028,Stephens,34.552914,-83.290216
GA,13259,347360,Stewart,32.073225,-84.834912
GA,13261,343504,Sumter,32.042197,-84.204257
GA,13263,326757,Talbot,32.704603,-84.530029
GA,13265,347654,Taliaferro,33.559319,-82.875272
GA,13267,347445,Tattnall,32.043768,-82.059208
GA,13269,344156,Taylor,32.554667,-84.251426
GA,13271,356958,Telfair,31.913639,-82.931062
GA,13273,352238,Terrell,31.777191,-84.439446
GA,13275,343835,Thomas,30.86462,-83.919812
GA,13277,344090,Tift,31.457003,-83.525931
GA,13279,345220,Toombs,32.117812,-82.330626
GA,13281,351252,Towns,34.902529,-83.732264
GA,13283,347505,Treutlen,32.409586,-82.570882
GA,13285,1673298,Troup,33.034482,-85.02836
GA,13287,343238,Turner,31.7248,-83.620319
GA,13289,345456,Twiggs,32.665847,-83.425879
GA,13291,353193,Union,34.833333,-83.989257
GA,13293,346759,Upson,32.881837,-84.292283
GA,13295,354216,Walker,34.735802,-85.305456
GA,13297,351264,Walton,33.783887,-83.731829
GA,13299,357722,Ware,31.050881,-82.421507
GA,13301,347777,Warren,33.419169,-82.688012
GA,13303,348428,Washington,32.971843,-82.798112
GA,13305,350608,Wayne,31.547845,-81.912376
GA,13307,352287,Webster,32.046691,-84.553828
GA,13309,351278,Wheeler,32.105258,-82.733849
GA,13311,326781,White,34.643776,-83.743417
GA,13313,353513,Whitfield,34.801726,-84.968541
GA,13315,345499,Wilcox,31.962717,-83.438262
GA,13317,351265,Wilkes,33.779031,-82.747921
GA,13319,346824,Wilkinson,32.804266,-83.175512
GA,13321,343365,Worth,31.551773,-83.84996
HI,15001,365280,Hawaii,19.597764,-155.502443
HI,15003,365281,Honolulu,21.461365,-158.201974
HI,15005,1702380,Kalawao,21.218764,-156.97401
HI,15007,365282,Kauai,22.012038,-159.705965
HI,15009,365283,Maui,20.855931,-156.60155
ID,16001,395066,Ada,43.451477,-116.244376
ID,16003,395067,Adams,44.877004,-116.461624
ID,16005,395091,Bannock,42.692921,-112.228982
ID,16007,395090,Bear,42.285892,-111.327517
ID,16009,395190,Benewah,47.218451,-116.633541
